split,feature_name,feature_group,n_rows,n_missing,missing_fraction,n_infinite
test,next_P,base,698,0,0.0,0
test,next_Q,base,698,0,0.0,0
test,next_R,base,698,0,0.0,0
test,next_S,base,698,0,0.0,0
test,next_T,base,698,0,0.0,0
test,next_V,base,698,0,0.0,0
test,next_W,base,698,0,0.0,0
test,next_Y,base,698,0,0.0,0
test,position_fraction,base,698,0,0.0,0
test,log_chain_length,base,698,0,0.0,0
test,sin_phi,base,698,0,0.0,0
test,cos_phi,base,698,0,0.0,0
test,phi_mask,base,698,0,0.0,0
test,sin_psi,base,698,0,0.0,0
test,cos_psi,base,698,0,0.0,0
test,psi_mask,base,698,0,0.0,0
test,ca_contacts_6a,shared_h_n_structure,698,1,0.0014326647564469914,0
test,ca_contacts_8a,shared_h_n_structure,698,1,0.0014326647564469914,0
test,ca_contacts_10a,shared_h_n_structure,698,1,0.0014326647564469914,0
test,nearest_backbone_o_distance,h_structure,698,0,0.0,0
test,backbone_o_within_3p5a,h_structure,698,0,0.0,0
test,hbond_proxy_mask,h_structure,698,0,0.0,0
all,aa_A,base,3498,0,0.0,0
all,aa_C,base,3498,0,0.0,0
all,aa_D,base,3498,0,0.0,0
all,aa_E,base,3498,0,0.0,0
all,aa_F,base,3498,0,0.0,0
all,aa_G,base,3498,0,0.0,0
all,aa_H,base,3498,0,0.0,0
all,aa_I,base,3498,0,0.0,0
all,aa_K,base,3498,0,0.0,0
all,aa_L,base,3498,0,0.0,0
all,aa_M,base,3498,0,0.0,0
all,aa_N,base,3498,0,0.0,0
all,aa_P,base,3498,0,0.0,0
all,aa_Q,base,3498,0,0.0,0
all,aa_R,base,3498,0,0.0,0
all,aa_S,base,3498,0,0.0,0
all,aa_T,base,3498,0,0.0,0
all,aa_V,base,3498,0,0.0,0
all,aa_W,base,3498,0,0.0,0
all,aa_Y,base,3498,0,0.0,0
all,prev_A,base,3498,0,0.0,0
all,prev_C,base,3498,0,0.0,0
all,prev_D,base,3498,0,0.0,0
all,prev_E,base,3498,0,0.0,0
all,prev_F,base,3498,0,0.0,0
all,prev_G,base,3498,0,0.0,0
all,prev_H,base,3498,0,0.0,0
all,prev_I,base,3498,0,0.0,0
all,prev_K,base,3498,0,0.0,0
all,prev_L,base,3498,0,0.0,0
all,prev_M,base,3498,0,0.0,0
all,prev_N,base,3498,0,0.0,0
all,prev_P,base,3498,0,0.0,0
all,prev_Q,base,3498,0,0.0,0
all,prev_R,base,3498,0,0.0,0
all,prev_S,base,3498,0,0.0,0
all,prev_T,base,3498,0,0.0,0
all,prev_V,base,3498,0,0.0,0
all,prev_W,base,3498,0,0.0,0
all,prev_Y,base,3498,0,0.0,0
all,next_A,base,3498,0,0.0,0
all,next_C,base,3498,0,0.0,0
all,next_D,base,3498,0,0.0,0
all,next_E,base,3498,0,0.0,0
all,next_F,base,3498,0,0.0,0
all,next_G,base,3498,0,0.0,0
all,next_H,base,3498,0,0.0,0
all,next_I,base,3498,0,0.0,0
all,next_K,base,3498,0,0.0,0
all,next_L,base,3498,0,0.0,0
all,next_M,base,3498,0,0.0,0
all,next_N,base,3498,0,0.0,0
all,next_P,base,3498,0,0.0,0
all,next_Q,base,3498,0,0.0,0
all,next_R,base,3498,0,0.0,0
all,next_S,base,3498,0,0.0,0
all,next_T,base,3498,0,0.0,0
all,next_V,base,3498,0,0.0,0
all,next_W,base,3498,0,0.0,0
all,next_Y,base,3498,0,0.0,0
all,position_fraction,base,3498,0,0.0,0
all,log_chain_length,base,3498,0,0.0,0
all,sin_phi,base,3498,0,0.0,0
all,cos_phi,base,3498,0,0.0,0
all,phi_mask,base,3498,0,0.0,0
all,sin_psi,base,3498,0,0.0,0
all,cos_psi,base,3498,0,0.0,0
all,psi_mask,base,3498,0,0.0,0
all,ca_contacts_6a,shared_h_n_structure,3498,1,0.0002858776443682104,0
all,ca_contacts_8a,shared_h_n_structure,3498,1,0.0002858776443682104,0
all,ca_contacts_10a,shared_h_n_structure,3498,1,0.0002858776443682104,0
all,nearest_backbone_o_distance,h_structure,3498,0,0.0,0
all,backbone_o_within_3p5a,h_structure,3498,0,0.0,0
all,hbond_proxy_mask,h_structure,3498,0,0.0,0
